CrashFactId,DateTime,Address,Latitude,Longitude,Mode,VehicleDamage,Weather1,Weather2,Lighting1,Lighting2,RoadSurf1,RoadSurf2,RoadCond1,RoadCond2,Mov1,Mov2,CollType1,CollType2,ExtText
20191227004001,2019-12-27 16:56:00,"850 Stanyan St. , San Francisco, San Francisco, CA, 94117",37.7666837,-122.4528955,CONVENTIONAL,MINOR,CLEAR,CLEAR,DUSK - DAWN,DUSK - DAWN,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,PROCEEDING STRAIGHT,UNKNOWN,UNKNOWN,SIDE SWIPE,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling southbound on Stanyan Street at the intersection with Beulah Street when a lane-encroaching municipal city bus in the right adjacent lane attempted to pass the Cruise AV. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, the city bus made contact with the right side of the Cruise AV, damaging the Cruise AV’s right articulating radar casing. There were no injuries. Police were called but not dispatched to the scene."
20191220011001,2019-12-20 09:00:00,"Kearny Street and Jackson Street, San Francisco, San Francisco, CA, 94108",37.7962214,-122.4051693,CONVENTIONAL,MODERATE,CLOUDY,CLOUDY,DAYLIGHT,DAYLIGHT,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,MAKING RIGHT TURN,PROCEEDING STRAIGHT,REAR END,SIDE SWIPE,"On December 20, 2019 at approximately 9:00AM, a stationary Zoox vehicle operating in manual mode was struck on its rear drivers' side by another vehicle traveling <10mph. The Zoox vehicle was traveling north on Kearny making a right onto Jackson. The Zoox vehicle was stopped while yielding to a pedestrian crossing Jackson. The vehicle directly behind the Zoox vehicle drove around the left side of the Zoox vehicle in an attempt to pass, clipping the left rear sensors with it's passenger side side-view mirror. There were no injuries."
20191220009001,2019-12-20 09:13:00,"Whisman Station Drive and Central Expressway, Mountain View, Santa Clara, CA, 94043",37.3898192,-122.0633158,CONVENTIONAL,MINOR,CLEAR,CLEAR,DAYLIGHT,DAYLIGHT,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,STOPPED,PROCEEDING STRAIGHT,UNKNOWN,REAR END,"A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in manual mode in the slip lane from southbound Whisman Station Drive to northbound Central Expressway in Mountain View when it was rear-ended. The Waymo AV test driver was yielding to approaching traffic when a passenger vehicle made contact with the Waymo AV’s rear bumper at approximately 2 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported at the scene."
20191219011001,2019-12-19 09:45:00,"NB Kearny Street before Post Street, San Francisco, San Francisco, CA, 94108",37.7926612,-122.4044384,CONVENTIONAL,MODERATE,CLOUDY,CLOUDY,DAYLIGHT,DAYLIGHT,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,PROCEEDING STRAIGHT,UNKNOWN,SIDE SWIPE,SIDE SWIPE,"On December 19, 2019 at approximately 9:44AM, a Zoox vehicle operating in manual mode was struck on the passenger side fender by a bus. The Zoox vehicle was traveling north on Kearny in the right most lane when the bus attempted to lane change in front of the Zoox vehicle, impacting its front passenger side sensors and fender. The bus was traveling less than 2mph when it hit the Zoox vehicle, which was stopped. There were no injuries.

"
20191219004001,2019-12-19 10:27:00,"Post St. and Leavenworth St. , San Francisco, San Francisco, CA, 94109",37.7874642,-122.4150247,AUTONOMOUS,MINOR,CLEAR,CLEAR,DAYLIGHT,DAYLIGHT,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,PROCEEDING STRAIGHT,UNKNOWN,UNKNOWN,REAR END,"A Cruise autonomous vehicle (“Cruise AV”) operating in autonomous mode, was traveling northbound on Leavenworth Street at the intersection with Post Street when the Cruise AV yielded to a public transit bus changing into the Cruise AV’s lane from the right adjacent lane. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, another vehicle made contact with the left rear corner of the Cruise AV, damaging the Cruise AV’s left rear fascia and the other vehicle’s right front fascia. There were no injuries and police were not called."
20191213004001,2019-12-13 07:55:00,"Bryant St. and Delancey St. , San Francisco, San Francisco, CA, 94107",37.784139,-122.3905012,CONVENTIONAL,MINOR,CLEAR,CLEAR,DAYLIGHT,DAYLIGHT,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,UNKNOWN,UNKNOWN,UNKNOWN,REAR END,"A Cruise autonomous vehicle (“Cruise AV”) being driven in conventional mode was involved in a collision on Delancey Street south of the intersection with Brannan Street. While the driver of the Cruise AV was reversing out of its perpendicular parking spot on Delancey, another vehicle simultaneously reversing out of its perpendicular parking spot on the opposite side of the street made contact with the rear bumper of the Cruise AV, damaging the Cruise AV’s left tail lamp assembly and rear fascia. There were no injuries reported at the scene by either party and police were not called. Days after the collision, both of the Cruise AV test operators reported injuries."
20191208004001,2019-12-08 09:14:00,"30th Avenue and California Street, San Francisco, San Francisco, CA, 94121",37.7836454,-122.4903754,AUTONOMOUS,MINOR,CLEAR,CLEAR,DAYLIGHT,DAYLIGHT,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,STOPPED,SLOWING/STOPPING,UNKNOWN,REAR END,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was stopped at a 4-way stop on southbound 30th Avenue at the intersection with California Street when another vehicle made contact with the Cruise AV’s rear bumper, damaging the rear fascia and rear center radar assembly of the Cruise AV. There were no injuries and police were not called."
20191129004001,2019-11-29 10:41:00,"Embarcadero St. and Washington St. , San Francisco, San Francisco, CA, 94105",37.7967325,-122.3952617,CONVENTIONAL,MODERATE,CLEAR,CLEAR,DAYLIGHT,DAYLIGHT,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,PROCEEDING STRAIGHT,PROCEEDING STRAIGHT,UNKNOWN,REAR END,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling southeast bound on The Embarcadero at the intersection with Washington Street when the Cruise AV slowed down. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, another vehicle made contact with the rear bumper of the Cruise AV, damaging the Cruise AV’s rear fascia assembly and radars. There were no injuries reported at the scene by either party and police were not called. Both of the Cruise AV test operators later mentioned neck and back pain."
20191125004001,2019-11-25 19:00:00,"California St. and Hyde St. , San Francisco, San Francisco, CA, 94109",37.7910104,-122.4174215,AUTONOMOUS,MINOR,CLEAR,CLEAR,DARK - STREET LIGHTS,DARK - STREET LIGHTS,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,MAKING RIGHT TURN,MAKING RIGHT TURN,UNKNOWN,REAR END,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was making a right turn from eastbound California Street onto southbound Hyde Street when another vehicle made contact with the Cruise AV’s rear bumper, damaging the rear fascia and the rear center radars. There were no injuries reported at the scene by either party and police were not called. Days after the collision, the Cruise AV test operator sitting in the driver's seat reported injuries. [originally filed 12/4/2019, amended 12/16/2019]"
20191122011001,2019-11-22 23:11:00,"5th St. and Folsom St., San Francisco, San Francisco, CA, 94017",37.7804066,-122.403736,CONVENTIONAL,MODERATE,CLEAR,CLEAR,DARK - STREET LIGHTS,DARK - STREET LIGHTS,DRY,DRY,NO UNUSUAL CONDITIONS,NO UNUSUAL CONDITIONS,MAKING LEFT TURN,PROCEEDING STRAIGHT,HEAD-ON,HEAD-ON,"The Zoox vehicle(1) was in conventional mode traveling southbound on 5th Street and making a protected left turn with green arrow onto
Folsom Street. The other party's vehicle(2), while being pursued by members of the San Francisco Police Department, illegally entered the
intersection from the opposite direction of travel on 5th Street at a high rate of speed and collided with the front/driver's side corner of the
Zoox vehicle(1). The force of the impact deployed all front airbags of the Zoox vehicle(1). Both occupants of the Zoox vehicle(1)
complained of minor injuries, but declined ambulance transportation."
